File,Quality,Inteligibility
5888_4811_000009.wav,3.87,0.98
6207_5270_000016.wav,3.77,0.98
2959_2564_000010.wav,4.09,0.98
3369_2564_000002.wav,4.31,0.99
5888_4811_000007.wav,3.62,0.97
6601_5323_000014.wav,3.67,0.97
10107_6390_000017.wav,3.87,0.98
5705_4744_000010.wav,4.10,0.98
2959_2564_000005.wav,3.93,0.98
6207_5270_000007.wav,4.28,0.99
9217_6390_000007.wav,4.12,0.99
8680_6390_000012.wav,3.88,0.98
4778_3962_000000.wav,4.01,0.98
5705_4744_000013.wav,3.91,0.98
6207_5270_000004.wav,4.03,0.99
10199_6390_000006.wav,4.17,0.99
9485_6390_000003.wav,4.15,0.99
9485_6390_000010.wav,4.01,0.98
12865_13396_000001.wav,3.72,0.97
2961_2564_000008.wav,3.93,0.98
9217_6390_000004.wav,4.28,0.99
6601_5323_000010.wav,3.65,0.97
6581_5323_000000.wav,3.83,0.98
2961_2564_000001.wav,3.90,0.98
5103_4572_000000.wav,3.74,0.98
5705_4744_000011.wav,3.54,0.96
2959_2564_000016.wav,4.16,0.99
10199_6390_000016.wav,3.86,0.98
8680_6390_000018.wav,3.65,0.97
6700_5323_000007.wav,3.63,0.98
10199_6390_000000.wav,4.03,0.98
5103_3962_000005.wav,3.81,0.98
10107_6390_000016.wav,4.04,0.99
10199_6390_000001.wav,3.75,0.97
4367_3648_000011.wav,3.94,0.98
2961_2564_000000.wav,3.93,0.99
6207_5270_000009.wav,3.73,0.98
4783_3962_000008.wav,3.52,0.95
4367_3648_000001.wav,3.84,0.98
9485_6390_000012.wav,3.86,0.98
2959_2564_000001.wav,4.07,0.99
5677_4744_000018.wav,3.41,0.96
6207_5270_000018.wav,3.87,0.98
5103_4744_000003.wav,3.37,0.95
7028_5323_000004.wav,4.10,0.99
4783_3962_000002.wav,3.48,0.96
10199_6390_000014.wav,3.78,0.97
8680_6390_000017.wav,3.91,0.98
4801_3962_000000.wav,3.78,0.97
7028_5323_000008.wav,3.49,0.96
10107_6390_000010.wav,3.75,0.97
5677_4744_000016.wav,3.20,0.93
10199_6390_000013.wav,3.99,0.98
9351_6390_000003.wav,3.60,0.97
10199_6390_000004.wav,4.04,0.98
5677_4744_000011.wav,3.57,0.96
3814_2564_000000.wav,3.80,0.98
2961_2564_000016.wav,3.70,0.97
9485_6390_000013.wav,4.16,0.98
