File,Quality,Inteligibility
taco2griffin_lim-IR-0006.wav,3.24,0.94
taco2griffin_lim-GS-0011.wav,4.40,0.99
taco2griffin_lim-MA-0022.wav,3.40,0.93
taco2griffin_lim-FN-0002.wav,4.46,0.99
taco2griffin_lim-MA-0007.wav,3.29,0.95
taco2griffin_lim-GM-0021.wav,4.53,1.00
taco2griffin_lim-DI-0009.wav,4.47,0.99
taco2griffin_lim-LN-0002.wav,4.11,0.99
taco2griffin_lim-GM-0020.wav,4.48,0.99
taco2griffin_lim-LU-0016.wav,3.86,0.98
taco2griffin_lim-LN-0016.wav,3.72,0.98
taco2griffin_lim-GM-0004.wav,4.43,0.99
taco2griffin_lim-GS-0000.wav,4.47,1.00
taco2griffin_lim-IR-0017.wav,4.22,0.99
taco2griffin_lim-LN-0008.wav,4.30,0.99
taco2griffin_lim-MA-0010.wav,3.67,0.98
taco2griffin_lim-LN-0029.wav,4.03,0.99
taco2griffin_lim-GM-0027.wav,4.59,1.00
taco2griffin_lim-GS-0029.wav,4.64,1.00
taco2griffin_lim-BZ-0028.wav,4.17,0.99
taco2griffin_lim-LU-0006.wav,3.99,0.99
taco2griffin_lim-DI-0015.wav,4.04,0.99
taco2griffin_lim-GM-0019.wav,4.44,1.00
taco2griffin_lim-LN-0009.wav,4.14,0.99
taco2griffin_lim-PE-0000.wav,4.63,1.00
taco2griffin_lim-RC-0007.wav,4.22,0.99
taco2griffin_lim-LU-0011.wav,3.86,0.98
taco2griffin_lim-MA-0028.wav,3.18,0.88
taco2griffin_lim-LN-0020.wav,4.14,0.99
taco2griffin_lim-GM-0017.wav,4.64,1.00
taco2griffin_lim-DI-0013.wav,4.46,1.00
taco2griffin_lim-DR-0020.wav,3.99,0.99
taco2griffin_lim-MA-0018.wav,2.90,0.84
taco2griffin_lim-DR-0012.wav,4.13,0.99
taco2griffin_lim-MA-0021.wav,3.57,0.96
taco2griffin_lim-PE-0028.wav,4.44,0.99
taco2griffin_lim-PE-0021.wav,4.51,1.00
taco2griffin_lim-DI-0008.wav,4.44,1.00
taco2griffin_lim-DI-0000.wav,4.51,1.00
taco2griffin_lim-GS-0028.wav,4.60,1.00
taco2griffin_lim-BZ-0009.wav,4.06,0.99
taco2griffin_lim-MA-0008.wav,3.33,0.95
taco2griffin_lim-LI-0023.wav,4.30,0.99
taco2griffin_lim-DI-0028.wav,4.42,0.99
taco2griffin_lim-DI-0003.wav,4.35,0.99
taco2griffin_lim-DR-0019.wav,4.25,0.99
taco2griffin_lim-LU-0010.wav,4.14,0.99
taco2griffin_lim-LN-0000.wav,3.76,0.98
taco2griffin_lim-FN-0011.wav,3.99,0.99
taco2griffin_lim-LN-0006.wav,4.17,0.99
taco2griffin_lim-LI-0002.wav,4.65,1.00
taco2griffin_lim-BZ-0029.wav,3.54,0.97
taco2griffin_lim-LU-0015.wav,3.83,0.98
taco2griffin_lim-LU-0029.wav,3.92,0.98
taco2griffin_lim-BZ-0025.wav,4.23,0.99
taco2griffin_lim-FN-0015.wav,4.33,0.99
taco2griffin_lim-BZ-0027.wav,3.74,0.98
taco2griffin_lim-LU-0018.wav,4.20,0.99
