filepath , mos
msc_d_tunner_tacotron_gst_waveglow_1_0,4.0
msc_d_tunner_tacotron_gst_waveglow_1_10,4.0
msc_d_tunner_tacotron_gst_waveglow_1_11,4.0
msc_d_tunner_tacotron_gst_waveglow_1_13,4.0
msc_d_tunner_tacotron_gst_waveglow_1_15,5.0
msc_d_tunner_tacotron_gst_waveglow_1_2,4.0
msc_d_tunner_tacotron_gst_waveglow_1_3,4.0
msc_d_tunner_tacotron_gst_waveglow_1_4,5.0
msc_d_tunner_tacotron_gst_waveglow_1_7,5.0
msc_d_tunner_tacotron_gst_waveglow_1_9,5.0
msc_d_tunner_tacotron_gst_waveglow_0_0,3.8666666666666667
msc_d_tunner_tacotron_gst_waveglow_0_1,4.125
msc_d_tunner_tacotron_gst_waveglow_0_10,3.8
msc_d_tunner_tacotron_gst_waveglow_0_11,4.5
msc_d_tunner_tacotron_gst_waveglow_0_12,4.0
msc_d_tunner_tacotron_gst_waveglow_0_13,4.0
msc_d_tunner_tacotron_gst_waveglow_0_14,4.0625
msc_d_tunner_tacotron_gst_waveglow_0_15,4.066666666666666
msc_d_tunner_tacotron_gst_waveglow_0_16,4.0
msc_d_tunner_tacotron_gst_waveglow_0_17,4.133333333333334
msc_d_tunner_tacotron_gst_waveglow_0_18,4.375
msc_d_tunner_tacotron_gst_waveglow_0_19,4.294117647058823
msc_d_tunner_tacotron_gst_waveglow_0_2,4.25
msc_d_tunner_tacotron_gst_waveglow_0_3,3.6
msc_d_tunner_tacotron_gst_waveglow_0_4,4.133333333333334
msc_d_tunner_tacotron_gst_waveglow_0_5,4.2
msc_d_tunner_tacotron_gst_waveglow_0_6,3.8125
msc_d_tunner_tacotron_gst_waveglow_0_7,4.333333333333333
msc_d_tunner_tacotron_gst_waveglow_0_8,4.125
msc_d_tunner_tacotron_gst_waveglow_0_9,4.125
