filepath , mos
taco2waveglow-BZ-0000,3.0
taco2waveglow-BZ-0001,2.0
taco2waveglow-BZ-0003,3.75
taco2waveglow-BZ-0004,1.0
taco2waveglow-BZ-0005,2.5
taco2waveglow-BZ-0007,4.0
taco2waveglow-BZ-0008,3.5
taco2waveglow-BZ-0011,5.0
taco2waveglow-BZ-0012,4.0
taco2waveglow-BZ-0013,4.0
taco2waveglow-BZ-0015,3.0
taco2waveglow-BZ-0016,5.0
taco2waveglow-BZ-0018,1.0
taco2waveglow-BZ-0019,3.3333333333333335
taco2waveglow-BZ-0020,3.0
taco2waveglow-BZ-0021,2.0
taco2waveglow-BZ-0022,3.0
taco2waveglow-BZ-0023,3.5
taco2waveglow-BZ-0024,3.0
taco2waveglow-BZ-0025,4.0
taco2waveglow-BZ-0027,3.0
taco2waveglow-BZ-0028,2.3333333333333335
taco2waveglow-BZ-0029,2.0
taco2waveglow-DR-0003,3.6666666666666665
taco2waveglow-DR-0005,3.0
taco2waveglow-DR-0007,3.0
taco2waveglow-DR-0009,5.0
taco2waveglow-DR-0011,5.0
taco2waveglow-DR-0012,4.0
taco2waveglow-DR-0013,3.0
taco2waveglow-DR-0015,3.0
taco2waveglow-DR-0016,5.0
taco2waveglow-DR-0019,3.0
taco2waveglow-DR-0022,4.0
taco2waveglow-DR-0024,2.0
taco2waveglow-DR-0025,3.0
taco2waveglow-DR-0027,2.0
taco2waveglow-DR-0029,3.0
taco2waveglow-GM-0000,3.0
taco2waveglow-GM-0002,4.0
taco2waveglow-GM-0003,4.0
taco2waveglow-GM-0005,5.0
taco2waveglow-GM-0008,3.0
taco2waveglow-GM-0009,4.666666666666667
taco2waveglow-GM-0010,3.0
taco2waveglow-GM-0011,3.0
taco2waveglow-GM-0014,5.0
taco2waveglow-GM-0017,3.5
taco2waveglow-GM-0018,1.0
taco2waveglow-GM-0019,5.0
taco2waveglow-GM-0020,3.5
taco2waveglow-GM-0022,5.0
taco2waveglow-GM-0023,4.666666666666667
taco2waveglow-GM-0024,5.0
taco2waveglow-GM-0025,5.0
taco2waveglow-GM-0026,5.0
taco2waveglow-GM-0027,4.0
taco2waveglow-GM-0028,4.0
taco2waveglow-GM-0029,5.0
