filepath,mos,condition,db
./data/mls/6207_5270_000010.wav,5.0,librivox,ground_truth
./data/mls/6207_5270_000005.wav,5.0,librivox,ground_truth
./data/mls/6207_5270_000011.wav,4.5,librivox,ground_truth
./data/mls/6700_5323_000002.wav,5.0,librivox,ground_truth
./data/mls/9485_6390_000006.wav,4.0,librivox,ground_truth
./data/mls/7028_5323_000000.wav,5.0,librivox,ground_truth
./data/mls/4367_3648_000004.wav,4.0,librivox,ground_truth
./data/mls/12865_13396_000001.wav,4.5,librivox,ground_truth
./data/mls/2959_2564_000003.wav,5.0,librivox,ground_truth
./data/mls/4367_3648_000010.wav,5.0,librivox,ground_truth
./data/mls/5888_4811_000005.wav,2.5,librivox,ground_truth
./data/mls/10107_6390_000005.wav,3.333333333333333,librivox,ground_truth
./data/mls/2961_2564_000004.wav,3.0,librivox,ground_truth
./data/mls/5705_4744_000017.wav,3.0,librivox,ground_truth
./data/mls/5888_4811_000011.wav,4.0,librivox,ground_truth
./data/mls/9351_6390_000007.wav,5.0,librivox,ground_truth
./data/mls/3427_2564_000000.wav,3.0,librivox,ground_truth
./data/mls/5705_4744_000010.wav,5.0,librivox,ground_truth
./data/mls/2961_2564_000019.wav,4.5,librivox,ground_truth
./data/mls/2961_2564_000001.wav,5.0,librivox,ground_truth
./data/mls/3369_2564_000001.wav,5.0,librivox,ground_truth
./data/mls/7028_5323_000009.wav,5.0,librivox,ground_truth
./data/mls/12249_8708_000013.wav,5.0,librivox,ground_truth
./data/mls/5103_3962_000002.wav,4.5,librivox,ground_truth
./data/mls/5677_4744_000019.wav,5.0,librivox,ground_truth
./data/mls/12865_13396_000009.wav,4.666666666666667,librivox,ground_truth
./data/mls/7028_5323_000019.wav,4.0,librivox,ground_truth
./data/mls/10107_6390_000009.wav,5.0,librivox,ground_truth
./data/mls/4778_3962_000003.wav,4.0,librivox,ground_truth
./data/mls/9351_6390_000015.wav,5.0,librivox,ground_truth
./data/mls/4367_3648_000003.wav,5.0,librivox,ground_truth
./data/mls/6601_5323_000010.wav,5.0,librivox,ground_truth
./data/mls/6207_5270_000015.wav,4.333333333333333,librivox,ground_truth
./data/mls/8680_6390_000010.wav,3.75,librivox,ground_truth
./data/mls/10199_6390_000018.wav,5.0,librivox,ground_truth
./data/mls/6207_5270_000008.wav,5.0,librivox,ground_truth
./data/mls/9485_6390_000004.wav,5.0,librivox,ground_truth
./data/mls/10670_10668_000000.wav,5.0,librivox,ground_truth
./data/mls/7028_5323_000012.wav,5.0,librivox,ground_truth
./data/mls/6700_5323_000000.wav,5.0,librivox,ground_truth
./data/mls/10199_6390_000014.wav,3.333333333333333,librivox,ground_truth
./data/mls/6601_5323_000015.wav,3.0,librivox,ground_truth
./data/mls/5705_4744_000001.wav,4.25,librivox,ground_truth
./data/mls/9351_6390_000013.wav,4.0,librivox,ground_truth
./data/mls/5888_4811_000003.wav,3.5,librivox,ground_truth
./data/mls/4783_3962_000003.wav,3.0,librivox,ground_truth
./data/mls/6601_5323_000011.wav,5.0,librivox,ground_truth
./data/mls/12865_13396_000016.wav,4.0,librivox,ground_truth
./data/mls/4367_3648_000014.wav,5.0,librivox,ground_truth
./data/mls/5888_4811_000009.wav,3.5,librivox,ground_truth
./data/mls/5677_4744_000006.wav,3.0,librivox,ground_truth
./data/mls/10199_6390_000013.wav,2.0,librivox,ground_truth
./data/mls/4778_3962_000000.wav,5.0,librivox,ground_truth
./data/mls/10199_6390_000016.wav,4.666666666666667,librivox,ground_truth
./data/mls/4783_3962_000005.wav,5.0,librivox,ground_truth
./data/mls/2959_2564_000008.wav,5.0,librivox,ground_truth
./data/mls/9351_6390_000008.wav,4.5,librivox,ground_truth
./data/mls/5705_4744_000009.wav,5.0,librivox,ground_truth
./data/mls/3369_2564_000002.wav,4.0,librivox,ground_truth
./data/mls/5705_4744_000008.wav,4.0,librivox,ground_truth
./data/mls/2961_2564_000017.wav,4.5,librivox,ground_truth
./data/mls/6581_5323_000001.wav,5.0,librivox,ground_truth
./data/mls/3369_2564_000000.wav,4.5,librivox,ground_truth
./data/mls/9485_6390_000005.wav,4.0,librivox,ground_truth
./data/mls/5888_4811_000001.wav,3.0,librivox,ground_truth
./data/mls/9485_6390_000012.wav,2.6666666666666665,librivox,ground_truth
./data/mls/12865_13396_000005.wav,4.0,librivox,ground_truth
./data/mls/8680_6390_000005.wav,3.0,librivox,ground_truth
./data/mls/5068_3962_000002.wav,2.0,librivox,ground_truth
./data/mls/4778_3962_000004.wav,5.0,librivox,ground_truth
./data/mls/9485_6390_000000.wav,4.0,librivox,ground_truth
./data/mls/8680_6390_000012.wav,4.0,librivox,ground_truth
./data/mls/2961_2564_000009.wav,3.5,librivox,ground_truth
./data/mls/5705_4744_000005.wav,4.5,librivox,ground_truth
./data/mls/12249_8708_000015.wav,5.0,librivox,ground_truth
./data/mls/3976_2564_000000.wav,4.0,librivox,ground_truth
./data/mls/2959_2564_000005.wav,1.0,librivox,ground_truth
./data/mls/2959_2564_000007.wav,5.0,librivox,ground_truth
./data/mls/10199_6390_000009.wav,4.0,librivox,ground_truth
./data/mls/12865_13396_000000.wav,5.0,librivox,ground_truth
./data/mls/10107_6390_000012.wav,5.0,librivox,ground_truth
./data/mls/4367_3648_000001.wav,5.0,librivox,ground_truth
./data/mls/9217_6390_000007.wav,4.0,librivox,ground_truth
./data/mls/5705_4744_000007.wav,5.0,librivox,ground_truth
./data/mls/2959_2564_000018.wav,5.0,librivox,ground_truth
./data/mls/2961_2564_000010.wav,4.0,librivox,ground_truth
./data/mls/10199_6390_000000.wav,4.0,librivox,ground_truth
./data/mls/2959_2564_000001.wav,5.0,librivox,ground_truth
./data/mls/6207_5270_000016.wav,3.0,librivox,ground_truth
./data/mls/9485_6390_000015.wav,4.0,librivox,ground_truth
./data/mls/6207_5270_000007.wav,5.0,librivox,ground_truth
./data/mls/5888_4811_000016.wav,3.0,librivox,ground_truth
./data/mls/7028_5323_000006.wav,3.0,librivox,ground_truth
./data/mls/5705_4744_000006.wav,4.333333333333333,librivox,ground_truth
./data/mls/2959_2564_000006.wav,5.0,librivox,ground_truth
./data/mls/8680_6390_000013.wav,4.0,librivox,ground_truth
./data/mls/12249_8708_000008.wav,5.0,librivox,ground_truth
./data/mls/5103_4744_000003.wav,5.0,librivox,ground_truth
./data/mls/4367_3648_000011.wav,4.0,librivox,ground_truth
./data/mls/4783_3962_000002.wav,2.0,librivox,ground_truth
./data/mls/6601_5323_000003.wav,5.0,librivox,ground_truth
./data/mls/5677_4744_000011.wav,3.8,librivox,ground_truth
./data/mls/6700_5323_000005.wav,4.5,librivox,ground_truth
./data/mls/6601_5323_000016.wav,4.0,librivox,ground_truth
./data/mls/9351_6390_000016.wav,1.0,librivox,ground_truth
./data/mls/2961_2564_000014.wav,4.5,librivox,ground_truth
./data/mls/5103_3962_000001.wav,4.0,librivox,ground_truth
./data/mls/9351_6390_000002.wav,5.0,librivox,ground_truth
./data/mls/3814_2564_000002.wav,2.5,librivox,ground_truth
./data/mls/9217_6390_000011.wav,4.666666666666667,librivox,ground_truth
./data/mls/6601_5323_000013.wav,3.0,librivox,ground_truth
./data/mls/7028_5323_000001.wav,4.0,librivox,ground_truth
./data/mls/10107_6390_000000.wav,5.0,librivox,ground_truth
./data/mls/8680_6390_000017.wav,4.0,librivox,ground_truth
./data/mls/7028_5323_000018.wav,4.5,librivox,ground_truth
./data/mls/5888_5270_000001.wav,5.0,librivox,ground_truth
./data/mls/9485_6390_000016.wav,3.0,librivox,ground_truth
./data/mls/9351_6390_000009.wav,4.0,librivox,ground_truth
./data/mls/5103_3962_000005.wav,5.0,librivox,ground_truth
./data/mls/10107_6390_000003.wav,5.0,librivox,ground_truth
./data/mls/3369_2564_000003.wav,4.0,librivox,ground_truth
./data/mls/2961_2564_000018.wav,5.0,librivox,ground_truth
./data/mls/4367_3648_000005.wav,5.0,librivox,ground_truth
./data/mls/5677_4744_000010.wav,5.0,librivox,ground_truth
./data/mls/12865_13396_000017.wav,3.0,librivox,ground_truth
./data/mls/10107_6390_000017.wav,4.5,librivox,ground_truth
./data/mls/5705_4744_000015.wav,4.0,librivox,ground_truth
./data/mls/5103_4744_000001.wav,3.0,librivox,ground_truth
