filepath,mos,condition,db
./data/noisy/noise-_input_output_LN_LN_taco2hifigan-LN-0003.wav,2.0,noisy,taco2hifigan
./data/noisy/noise-_input_output_GM_GM_taco2hifigan-GM-0023.wav,1.0,noisy,taco2hifigan
./data/noisy/noise-_input_output_MA_MA_taco2hifigan-MA-0001.wav,1.0,noisy,taco2hifigan
./data/noisy/noise-_input_output_DR_DR_taco2hifigan-DR-0007.wav,1.0,noisy,taco2hifigan
./data/noisy/noise-_input_output_MA_MA_taco2hifigan-MA-0006.wav,1.5,noisy,taco2hifigan
./data/noisy/noise-_input_output_DI_DI_taco2hifigan-DI-0002.wav,1.5,noisy,taco2hifigan
./data/noisy/noise-_input_output_PE_PE_taco2hifigan-PE-0024.wav,2.0,noisy,taco2hifigan
./data/noisy/noise-_input_output_DR_DR_taco2hifigan-DR-0028.wav,2.0,noisy,taco2hifigan
./data/noisy/noise-_input_output_LI_LI_taco2hifigan-LI-0025.wav,1.0,noisy,taco2hifigan
./data/noisy/noise-_input_output_GS_GS_taco2hifigan-GS-0006.wav,2.333333333333333,noisy,taco2hifigan
./data/noisy/noise-_input_output_RC_RC_taco2hifigan-RC-0013.wav,1.0,noisy,taco2hifigan
./data/noisy/noise-_input_output_LN_LN_taco2hifigan-LN-0005.wav,1.0,noisy,taco2hifigan
./data/noisy/noise-_input_output_BZ_BZ_taco2hifigan-BZ-0004.wav,2.0,noisy,taco2hifigan
./data/noisy/noise-_input_output_LI_LI_taco2hifigan-LI-0001.wav,2.0,noisy,taco2hifigan
./data/noisy/noise-_input_output_DR_DR_taco2hifigan-DR-0011.wav,1.0,noisy,taco2hifigan
./data/noisy/noise-_input_output_GS_GS_taco2hifigan-GS-0022.wav,1.0,noisy,taco2hifigan
./data/noisy/noise-_input_output_DR_DR_taco2hifigan-DR-0017.wav,4.0,noisy,taco2hifigan
./data/noisy/noise-_input_output_GS_GS_taco2hifigan-GS-0027.wav,1.0,noisy,taco2hifigan
./data/noisy/noise-_input_output_DR_DR_taco2hifigan-DR-0015.wav,1.0,noisy,taco2hifigan
./data/noisy/noise-_input_output_BZ_BZ_taco2hifigan-BZ-0028.wav,1.5,noisy,taco2hifigan
./data/noisy/noise-_input_output_IR_IR_taco2hifigan-IR-0019.wav,2.0,noisy,taco2hifigan
./data/noisy/noise-_input_output_LN_LN_taco2hifigan-LN-0020.wav,1.0,noisy,taco2hifigan
./data/noisy/noise-_input_output_DR_DR_taco2hifigan-DR-0022.wav,1.0,noisy,taco2hifigan
./data/noisy/noise-_input_output_RC_RC_taco2hifigan-RC-0014.wav,1.0,noisy,taco2hifigan
./data/noisy/noise-_input_output_RC_RC_taco2hifigan-RC-0025.wav,1.5,noisy,taco2hifigan
./data/noisy/noise-_input_output_DR_DR_taco2hifigan-DR-0013.wav,1.0,noisy,taco2hifigan
./data/noisy/noise-_input_output_LI_LI_taco2hifigan-LI-0006.wav,2.0,noisy,taco2hifigan
./data/noisy/noise-_input_output_GS_GS_taco2hifigan-GS-0001.wav,2.5,noisy,taco2hifigan
./data/noisy/noise-_input_output_BZ_BZ_taco2hifigan-BZ-0023.wav,1.0,noisy,taco2hifigan
./data/noisy/noise-_input_output_MA_MA_taco2hifigan-MA-0004.wav,2.0,noisy,taco2hifigan
./data/noisy/noise-_input_output_DI_DI_taco2hifigan-DI-0021.wav,2.5,noisy,taco2hifigan
./data/noisy/noise-_input_output_GS_GS_taco2hifigan-GS-0015.wav,1.0,noisy,taco2hifigan
./data/noisy/noise-_input_output_DI_DI_taco2hifigan-DI-0013.wav,1.0,noisy,taco2hifigan
./data/noisy/noise-_input_output_LU_LU_taco2hifigan-LU-0015.wav,2.0,noisy,taco2hifigan
./data/noisy/noise-_input_output_LI_LI_taco2hifigan-LI-0010.wav,3.0,noisy,taco2hifigan
./data/noisy/noise-_input_output_GS_GS_taco2hifigan-GS-0029.wav,2.0,noisy,taco2hifigan
./data/noisy/noise-_input_output_GS_GS_taco2hifigan-GS-0007.wav,1.0,noisy,taco2hifigan
./data/noisy/noise-_input_output_GS_GS_taco2hifigan-GS-0004.wav,3.0,noisy,taco2hifigan
./data/noisy/noise-_input_output_GS_GS_taco2hifigan-GS-0026.wav,1.0,noisy,taco2hifigan
./data/noisy/noise-_input_output_LU_LU_taco2hifigan-LU-0012.wav,2.0,noisy,taco2hifigan
./data/noisy/noise-_input_output_FN_FN_taco2hifigan-FN-0020.wav,2.0,noisy,taco2hifigan
./data/noisy/noise-_input_output_DI_DI_taco2hifigan-DI-0007.wav,1.0,noisy,taco2hifigan
./data/noisy/noise-_input_output_IR_IR_taco2hifigan-IR-0007.wav,3.0,noisy,taco2hifigan
./data/noisy/noise-_input_output_IR_IR_taco2hifigan-IR-0026.wav,2.0,noisy,taco2hifigan
./data/noisy/noise-_input_output_BZ_BZ_taco2hifigan-BZ-0018.wav,1.0,noisy,taco2hifigan
./data/noisy/noise-_input_output_DR_DR_taco2hifigan-DR-0020.wav,2.0,noisy,taco2hifigan
./data/noisy/noise-_input_output_BZ_BZ_taco2hifigan-BZ-0007.wav,2.0,noisy,taco2hifigan
./data/noisy/noise-_input_output_LI_LI_taco2hifigan-LI-0005.wav,2.0,noisy,taco2hifigan
./data/noisy/noise-_input_output_FN_FN_taco2hifigan-FN-0026.wav,3.0,noisy,taco2hifigan
./data/noisy/noise-_input_output_LI_LI_taco2hifigan-LI-0002.wav,2.0,noisy,taco2hifigan
./data/noisy/noise-_input_output_MA_MA_taco2hifigan-MA-0013.wav,2.0,noisy,taco2hifigan
./data/noisy/noise-_input_output_PE_PE_taco2hifigan-PE-0008.wav,1.0,noisy,taco2hifigan
./data/noisy/noise-_input_output_IR_IR_taco2hifigan-IR-0022.wav,1.3333333333333333,noisy,taco2hifigan
./data/noisy/noise-_input_output_IR_IR_taco2hifigan-IR-0010.wav,2.0,noisy,taco2hifigan
./data/noisy/noise-_input_output_RC_RC_taco2hifigan-RC-0001.wav,2.0,noisy,taco2hifigan
./data/noisy/noise-_input_output_IR_IR_taco2hifigan-IR-0003.wav,1.0,noisy,taco2hifigan
./data/noisy/noise-_input_output_GS_GS_taco2hifigan-GS-0008.wav,1.0,noisy,taco2hifigan
./data/noisy/noise-_input_output_PE_PE_taco2hifigan-PE-0018.wav,1.0,noisy,taco2hifigan
./data/noisy/noise-_input_output_BZ_BZ_taco2hifigan-BZ-0001.wav,2.0,noisy,taco2hifigan
./data/noisy/noise-_input_output_RC_RC_taco2hifigan-RC-0005.wav,1.0,noisy,taco2hifigan
./data/noisy/noise-_input_output_BZ_BZ_taco2hifigan-BZ-0006.wav,2.0,noisy,taco2hifigan
./data/noisy/noise-_input_output_PE_PE_taco2hifigan-PE-0029.wav,4.0,noisy,taco2hifigan
./data/noisy/noise-_input_output_BZ_BZ_taco2hifigan-BZ-0008.wav,1.0,noisy,taco2hifigan
./data/noisy/noise-_input_output_RC_RC_taco2hifigan-RC-0004.wav,3.0,noisy,taco2hifigan
./data/noisy/noise-_input_output_FN_FN_taco2hifigan-FN-0019.wav,2.0,noisy,taco2hifigan
./data/noisy/noise-_input_output_RC_RC_taco2hifigan-RC-0016.wav,3.0,noisy,taco2hifigan
./data/noisy/noise-_input_output_MA_MA_taco2hifigan-MA-0014.wav,1.0,noisy,taco2hifigan
./data/noisy/noise-_input_output_LI_LI_taco2hifigan-LI-0019.wav,1.0,noisy,taco2hifigan
./data/noisy/noise-_input_output_LU_LU_taco2hifigan-LU-0005.wav,3.0,noisy,taco2hifigan
./data/noisy/noise-_input_output_LI_LI_taco2hifigan-LI-0004.wav,2.5,noisy,taco2hifigan
./data/noisy/noise-_input_output_LN_LN_taco2hifigan-LN-0010.wav,2.0,noisy,taco2hifigan
./data/noisy/noise-_input_output_DI_DI_taco2hifigan-DI-0012.wav,1.0,noisy,taco2hifigan
./data/noisy/noise-_input_output_BZ_BZ_taco2hifigan-BZ-0025.wav,1.6666666666666667,noisy,taco2hifigan
./data/noisy/noise-_input_output_PE_PE_taco2hifigan-PE-0001.wav,2.0,noisy,taco2hifigan
./data/noisy/noise-_input_output_GM_GM_taco2hifigan-GM-0010.wav,3.0,noisy,taco2hifigan
./data/noisy/noise-_input_output_RC_RC_taco2hifigan-RC-0012.wav,1.0,noisy,taco2hifigan
./data/noisy/noise-_input_output_GM_GM_taco2hifigan-GM-0017.wav,1.0,noisy,taco2hifigan
./data/noisy/noise-_input_output_GS_GS_taco2hifigan-GS-0017.wav,2.5,noisy,taco2hifigan
./data/noisy/noise-_input_output_GS_GS_taco2hifigan-GS-0025.wav,3.0,noisy,taco2hifigan
./data/noisy/noise-_input_output_DI_DI_taco2hifigan-DI-0028.wav,1.5,noisy,taco2hifigan
./data/noisy/noise-_input_output_DR_DR_taco2hifigan-DR-0009.wav,4.0,noisy,taco2hifigan
./data/noisy/noise-_input_output_PE_PE_taco2hifigan-PE-0028.wav,1.5,noisy,taco2hifigan
./data/noisy/noise-_input_output_LN_LN_taco2hifigan-LN-0027.wav,1.0,noisy,taco2hifigan
./data/noisy/noise-_input_output_IR_IR_taco2hifigan-IR-0028.wav,2.0,noisy,taco2hifigan
./data/noisy/noise-_input_output_GM_GM_taco2hifigan-GM-0014.wav,2.0,noisy,taco2hifigan
./data/noisy/noise-_input_output_PE_PE_taco2hifigan-PE-0005.wav,2.333333333333333,noisy,taco2hifigan
./data/noisy/noise-_input_output_GS_GS_taco2hifigan-GS-0024.wav,3.0,noisy,taco2hifigan
./data/noisy/noise-_input_output_LN_LN_taco2hifigan-LN-0006.wav,2.0,noisy,taco2hifigan
./data/noisy/noise-_input_output_RC_RC_taco2hifigan-RC-0023.wav,2.0,noisy,taco2hifigan
./data/noisy/noise-_input_output_PE_PE_taco2hifigan-PE-0013.wav,1.5,noisy,taco2hifigan
./data/noisy/noise-_input_output_IR_IR_taco2hifigan-IR-0018.wav,1.0,noisy,taco2hifigan
./data/noisy/noise-_input_output_DI_DI_taco2hifigan-DI-0019.wav,1.0,noisy,taco2hifigan
./data/noisy/noise-_input_output_GM_GM_taco2hifigan-GM-0015.wav,2.0,noisy,taco2hifigan
./data/noisy/noise-_input_output_LN_LN_taco2hifigan-LN-0019.wav,1.0,noisy,taco2hifigan
./data/noisy/noise-_input_output_RC_RC_taco2hifigan-RC-0015.wav,2.0,noisy,taco2hifigan
./data/noisy/noise-_input_output_LI_LI_taco2hifigan-LI-0021.wav,1.0,noisy,taco2hifigan
./data/noisy/noise-_input_output_BZ_BZ_taco2hifigan-BZ-0024.wav,1.0,noisy,taco2hifigan
./data/noisy/noise-_input_output_LI_LI_taco2hifigan-LI-0013.wav,2.0,noisy,taco2hifigan
./data/noisy/noise-_input_output_PE_PE_taco2hifigan-PE-0006.wav,4.0,noisy,taco2hifigan
./data/noisy/noise-_input_output_FN_FN_taco2hifigan-FN-0027.wav,1.0,noisy,taco2hifigan
./data/noisy/noise-_input_output_IR_IR_taco2hifigan-IR-0005.wav,1.0,noisy,taco2hifigan
./data/noisy/noise-_input_output_DI_DI_taco2hifigan-DI-0024.wav,2.0,noisy,taco2hifigan
./data/noisy/noise-_input_output_RC_RC_taco2hifigan-RC-0028.wav,2.0,noisy,taco2hifigan
./data/noisy/noise-_input_output_RC_RC_taco2hifigan-RC-0002.wav,3.0,noisy,taco2hifigan
./data/noisy/noise-_input_output_RC_RC_taco2hifigan-RC-0029.wav,2.0,noisy,taco2hifigan
./data/noisy/noise-_input_output_IR_IR_taco2hifigan-IR-0013.wav,1.3333333333333333,noisy,taco2hifigan
./data/noisy/noise-_input_output_FN_FN_taco2hifigan-FN-0025.wav,1.0,noisy,taco2hifigan
./data/noisy/noise-_input_output_DR_DR_taco2hifigan-DR-0018.wav,2.0,noisy,taco2hifigan
./data/noisy/noise-_input_output_FN_FN_taco2hifigan-FN-0016.wav,1.0,noisy,taco2hifigan
./data/noisy/noise-_input_output_RC_RC_taco2hifigan-RC-0017.wav,2.0,noisy,taco2hifigan
./data/noisy/noise-_input_output_IR_IR_taco2hifigan-IR-0027.wav,2.0,noisy,taco2hifigan
./data/noisy/noise-_input_output_GS_GS_taco2hifigan-GS-0012.wav,2.5,noisy,taco2hifigan
./data/noisy/noise-_input_output_FN_FN_taco2hifigan-FN-0012.wav,1.0,noisy,taco2hifigan
./data/noisy/noise-_input_output_GM_GM_taco2hifigan-GM-0026.wav,1.0,noisy,taco2hifigan
./data/noisy/noise-_input_output_IR_IR_taco2hifigan-IR-0009.wav,2.0,noisy,taco2hifigan
./data/noisy/noise-_input_output_IR_IR_taco2hifigan-IR-0002.wav,1.0,noisy,taco2hifigan
./data/noisy/noise-_input_output_LN_LN_taco2hifigan-LN-0009.wav,2.0,noisy,taco2hifigan
./data/noisy/noise-_input_output_FN_FN_taco2hifigan-FN-0008.wav,2.0,noisy,taco2hifigan
./data/noisy/noise-_input_output_LN_LN_taco2hifigan-LN-0017.wav,1.0,noisy,taco2hifigan
./data/noisy/noise-_input_output_GM_GM_taco2hifigan-GM-0011.wav,1.6666666666666667,noisy,taco2hifigan
./data/noisy/noise-_input_output_BZ_BZ_taco2hifigan-BZ-0005.wav,1.0,noisy,taco2hifigan
./data/noisy/noise-_input_output_MA_MA_taco2hifigan-MA-0012.wav,1.0,noisy,taco2hifigan
./data/noisy/noise-_input_output_LI_LI_taco2hifigan-LI-0007.wav,1.6666666666666667,noisy,taco2hifigan
./data/noisy/noise-_input_output_LN_LN_taco2hifigan-LN-0018.wav,1.0,noisy,taco2hifigan
./data/noisy/noise-_input_output_GM_GM_taco2hifigan-GM-0028.wav,2.0,noisy,taco2hifigan
./data/noisy/noise-_input_output_BZ_BZ_taco2hifigan-BZ-0011.wav,1.0,noisy,taco2hifigan
./data/noisy/noise-_input_output_PE_PE_taco2hifigan-PE-0016.wav,4.0,noisy,taco2hifigan
./data/noisy/noise-_input_output_DR_DR_taco2hifigan-DR-0008.wav,3.0,noisy,taco2hifigan
./data/noisy/noise-_input_output_PE_PE_taco2hifigan-PE-0021.wav,5.0,noisy,taco2hifigan
./data/noisy/noise-_input_output_LN_LN_taco2hifigan-LN-0015.wav,1.0,noisy,taco2hifigan
./data/noisy/noise-_input_output_PE_PE_taco2hifigan-PE-0020.wav,2.0,noisy,taco2hifigan
./data/noisy/noise-_input_output_DI_DI_taco2hifigan-DI-0026.wav,1.0,noisy,taco2hifigan
./data/noisy/noise-_input_output_LU_LU_taco2hifigan-LU-0027.wav,1.0,noisy,taco2hifigan
./data/noisy/noise-_input_output_LN_LN_taco2hifigan-LN-0004.wav,1.0,noisy,taco2hifigan
./data/noisy/noise-_input_output_BZ_BZ_taco2hifigan-BZ-0016.wav,1.0,noisy,taco2hifigan
./data/noisy/noise-_input_output_GM_GM_taco2hifigan-GM-0003.wav,3.5,noisy,taco2hifigan
./data/noisy/noise-_input_output_MA_MA_taco2hifigan-MA-0029.wav,2.0,noisy,taco2hifigan
./data/noisy/noise-_input_output_LU_LU_taco2hifigan-LU-0022.wav,1.0,noisy,taco2hifigan
./data/noisy/noise-_input_output_GS_GS_taco2hifigan-GS-0018.wav,2.0,noisy,taco2hifigan
./data/noisy/noise-_input_output_LU_LU_taco2hifigan-LU-0011.wav,1.0,noisy,taco2hifigan
./data/noisy/noise-_input_output_LU_LU_taco2hifigan-LU-0019.wav,1.0,noisy,taco2hifigan
./data/noisy/noise-_input_output_MA_MA_taco2hifigan-MA-0016.wav,3.0,noisy,taco2hifigan
./data/noisy/noise-_input_output_LI_LI_taco2hifigan-LI-0027.wav,3.6666666666666665,noisy,taco2hifigan
./data/noisy/noise-_input_output_LU_LU_taco2hifigan-LU-0003.wav,1.0,noisy,taco2hifigan
./data/noisy/noise-_input_output_MA_MA_taco2hifigan-MA-0003.wav,1.0,noisy,taco2hifigan
./data/noisy/noise-_input_output_GM_GM_taco2hifigan-GM-0019.wav,3.0,noisy,taco2hifigan
./data/noisy/noise-_input_output_MA_MA_taco2hifigan-MA-0002.wav,1.0,noisy,taco2hifigan
./data/noisy/noise-_input_output_GS_GS_taco2hifigan-GS-0023.wav,1.0,noisy,taco2hifigan
./data/noisy/noise-_input_output_GS_GS_taco2hifigan-GS-0014.wav,3.0,noisy,taco2hifigan
./data/noisy/noise-_input_output_DI_DI_taco2hifigan-DI-0003.wav,1.0,noisy,taco2hifigan
./data/noisy/noise-_input_output_DR_DR_taco2hifigan-DR-0004.wav,1.5,noisy,taco2hifigan
./data/noisy/noise-_input_output_GS_GS_taco2hifigan-GS-0011.wav,1.0,noisy,taco2hifigan
./data/noisy/noise-_input_output_LU_LU_taco2hifigan-LU-0016.wav,1.5,noisy,taco2hifigan
./data/noisy/noise-_input_output_FN_FN_taco2hifigan-FN-0003.wav,1.0,noisy,taco2hifigan
