filepath,mos,condition,db
./data/taco2griffinlim/taco2griffin_lim-LN-0022.wav,1.3333333333333333,synthesized,taco2griffinlim
./data/taco2griffinlim/taco2griffin_lim-LN-0018.wav,1.5,synthesized,taco2griffinlim
./data/taco2griffinlim/taco2griffin_lim-BZ-0004.wav,1.0,synthesized,taco2griffinlim
./data/taco2griffinlim/taco2griffin_lim-GM-0012.wav,2.0,synthesized,taco2griffinlim
./data/taco2griffinlim/taco2griffin_lim-DR-0011.wav,2.333333333333333,synthesized,taco2griffinlim
./data/taco2griffinlim/taco2griffin_lim-BZ-0021.wav,2.5,synthesized,taco2griffinlim
./data/taco2griffinlim/taco2griffin_lim-BZ-0028.wav,1.0,synthesized,taco2griffinlim
./data/taco2griffinlim/taco2griffin_lim-PE-0022.wav,2.0,synthesized,taco2griffinlim
./data/taco2griffinlim/taco2griffin_lim-MA-0001.wav,1.6666666666666667,synthesized,taco2griffinlim
./data/taco2griffinlim/taco2griffin_lim-GM-0013.wav,1.3333333333333333,synthesized,taco2griffinlim
./data/taco2griffinlim/taco2griffin_lim-FN-0020.wav,2.0,synthesized,taco2griffinlim
./data/taco2griffinlim/taco2griffin_lim-MA-0004.wav,2.0,synthesized,taco2griffinlim
./data/taco2griffinlim/taco2griffin_lim-MA-0009.wav,1.0,synthesized,taco2griffinlim
./data/taco2griffinlim/taco2griffin_lim-BZ-0011.wav,2.0,synthesized,taco2griffinlim
./data/taco2griffinlim/taco2griffin_lim-DR-0015.wav,4.0,synthesized,taco2griffinlim
./data/taco2griffinlim/taco2griffin_lim-PE-0004.wav,3.0,synthesized,taco2griffinlim
./data/taco2griffinlim/taco2griffin_lim-MA-0019.wav,2.0,synthesized,taco2griffinlim
./data/taco2griffinlim/taco2griffin_lim-DR-0024.wav,5.0,synthesized,taco2griffinlim
./data/taco2griffinlim/taco2griffin_lim-FN-0013.wav,2.0,synthesized,taco2griffinlim
./data/taco2griffinlim/taco2griffin_lim-PE-0018.wav,2.0,synthesized,taco2griffinlim
./data/taco2griffinlim/taco2griffin_lim-FN-0029.wav,1.5,synthesized,taco2griffinlim
