filepath,mos,condition,db
./data/taco-gst2waveglow/msc_d_tunner_tacotron_gst_waveglow_1_0.wav,4.0,synthesized,taco_gst2waveglow
./data/taco-gst2waveglow/msc_d_tunner_tacotron_gst_waveglow_0_2.wav,4.25,synthesized,taco_gst2waveglow
./data/taco-gst2waveglow/msc_d_tunner_tacotron_gst_waveglow_0_6.wav,3.8125,synthesized,taco_gst2waveglow
./data/taco-gst2waveglow/msc_d_tunner_tacotron_gst_waveglow_1_4.wav,5.0,synthesized,taco_gst2waveglow
./data/taco-gst2waveglow/msc_d_tunner_tacotron_gst_waveglow_0_17.wav,4.133333333333334,synthesized,taco_gst2waveglow
./data/taco-gst2waveglow/msc_d_tunner_tacotron_gst_waveglow_1_2.wav,4.0,synthesized,taco_gst2waveglow
./data/taco-gst2waveglow/msc_d_tunner_tacotron_gst_waveglow_0_13.wav,4.0,synthesized,taco_gst2waveglow
./data/taco-gst2waveglow/msc_d_tunner_tacotron_gst_waveglow_1_7.wav,5.0,synthesized,taco_gst2waveglow
./data/taco-gst2waveglow/msc_d_tunner_tacotron_gst_waveglow_0_10.wav,3.8,synthesized,taco_gst2waveglow
./data/taco-gst2waveglow/msc_d_tunner_tacotron_gst_waveglow_0_11.wav,4.5,synthesized,taco_gst2waveglow
./data/taco-gst2waveglow/msc_d_tunner_tacotron_gst_waveglow_1_3.wav,4.0,synthesized,taco_gst2waveglow
./data/taco-gst2waveglow/msc_d_tunner_tacotron_gst_waveglow_0_3.wav,3.6,synthesized,taco_gst2waveglow
./data/taco-gst2waveglow/msc_d_tunner_tacotron_gst_waveglow_0_4.wav,4.133333333333334,synthesized,taco_gst2waveglow
./data/taco-gst2waveglow/msc_d_tunner_tacotron_gst_waveglow_1_11.wav,4.0,synthesized,taco_gst2waveglow
./data/taco-gst2waveglow/msc_d_tunner_tacotron_gst_waveglow_0_12.wav,4.0,synthesized,taco_gst2waveglow
./data/taco-gst2waveglow/msc_d_tunner_tacotron_gst_waveglow_0_19.wav,4.294117647058823,synthesized,taco_gst2waveglow
./data/taco-gst2waveglow/msc_d_tunner_tacotron_gst_waveglow_0_15.wav,4.066666666666666,synthesized,taco_gst2waveglow
./data/taco-gst2waveglow/msc_d_tunner_tacotron_gst_waveglow_0_5.wav,4.2,synthesized,taco_gst2waveglow
./data/taco-gst2waveglow/msc_d_tunner_tacotron_gst_waveglow_0_0.wav,3.866666666666666,synthesized,taco_gst2waveglow
./data/taco-gst2waveglow/msc_d_tunner_tacotron_gst_waveglow_0_8.wav,4.125,synthesized,taco_gst2waveglow
./data/taco-gst2waveglow/msc_d_tunner_tacotron_gst_waveglow_0_16.wav,4.0,synthesized,taco_gst2waveglow
./data/taco-gst2waveglow/msc_d_tunner_tacotron_gst_waveglow_1_10.wav,4.0,synthesized,taco_gst2waveglow
./data/taco-gst2waveglow/msc_d_tunner_tacotron_gst_waveglow_1_15.wav,5.0,synthesized,taco_gst2waveglow
./data/taco-gst2waveglow/msc_d_tunner_tacotron_gst_waveglow_0_9.wav,4.125,synthesized,taco_gst2waveglow
./data/taco-gst2waveglow/msc_d_tunner_tacotron_gst_waveglow_0_14.wav,4.0625,synthesized,taco_gst2waveglow
./data/taco-gst2waveglow/msc_d_tunner_tacotron_gst_waveglow_1_13.wav,4.0,synthesized,taco_gst2waveglow
