filepath,mos,condition,db
./data/vits/vits_4801-0005.wav,5.0,synthesized,vits
./data/vits/vits_10199-0007.wav,1.0,synthesized,vits
./data/vits/vits_3369-0018.wav,3.0,synthesized,vits
./data/vits/vits_3976-0015.wav,3.0,synthesized,vits
./data/vits/vits_5677-0000.wav,2.6666666666666665,synthesized,vits
./data/vits/vits_4778-0012.wav,5.0,synthesized,vits
./data/vits/vits_5103-0002.wav,3.0,synthesized,vits
./data/vits/vits_3976-0000.wav,4.0,synthesized,vits
./data/vits/vits_3427-0009.wav,3.0,synthesized,vits
./data/vits/vits_9217-0026.wav,5.0,synthesized,vits
./data/vits/vits_9351-0023.wav,4.0,synthesized,vits
./data/vits/vits_10670-0007.wav,3.0,synthesized,vits
./data/vits/vits_5025-0014.wav,4.0,synthesized,vits
./data/vits/vits_5677-0019.wav,4.333333333333333,synthesized,vits
./data/vits/vits_5677-0026.wav,3.6666666666666665,synthesized,vits
./data/vits/vits_7028-0004.wav,3.0,synthesized,vits
./data/vits/vits_2959-0025.wav,3.0,synthesized,vits
./data/vits/vits_4778-0004.wav,5.0,synthesized,vits
./data/vits/vits_5677-0018.wav,3.0,synthesized,vits
./data/vits/vits_9217-0028.wav,2.5,synthesized,vits
./data/vits/vits_12865-0015.wav,3.0,synthesized,vits
./data/vits/vits_3814-0021.wav,3.0,synthesized,vits
./data/vits/vits_10670-0002.wav,4.0,synthesized,vits
./data/vits/vits_5068-0004.wav,3.5,synthesized,vits
./data/vits/vits_4783-0013.wav,2.0,synthesized,vits
./data/vits/vits_3369-0001.wav,4.0,synthesized,vits
./data/vits/vits_8680-0002.wav,2.0,synthesized,vits
./data/vits/vits_10670-0006.wav,3.0,synthesized,vits
./data/vits/vits_3976-0021.wav,3.0,synthesized,vits
./data/vits/vits_6700-0014.wav,5.0,synthesized,vits
./data/vits/vits_6581-0003.wav,4.0,synthesized,vits
./data/vits/vits_9217-0000.wav,2.0,synthesized,vits
./data/vits/vits_4801-0019.wav,2.0,synthesized,vits
./data/vits/vits_12249-0025.wav,3.0,synthesized,vits
./data/vits/vits_5888-0019.wav,2.0,synthesized,vits
./data/vits/vits_10107-0013.wav,4.0,synthesized,vits
./data/vits/vits_8680-0025.wav,1.0,synthesized,vits
./data/vits/vits_4783-0014.wav,2.0,synthesized,vits
./data/vits/vits_8680-0008.wav,2.6666666666666665,synthesized,vits
./data/vits/vits_5888-0002.wav,2.0,synthesized,vits
./data/vits/vits_2961-0024.wav,1.0,synthesized,vits
./data/vits/vits_5068-0010.wav,4.0,synthesized,vits
./data/vits/vits_2961-0015.wav,3.5,synthesized,vits
./data/vits/vits_9217-0020.wav,2.333333333333333,synthesized,vits
./data/vits/vits_9351-0005.wav,3.333333333333333,synthesized,vits
./data/vits/vits_6700-0020.wav,3.0,synthesized,vits
./data/vits/vits_12865-0024.wav,4.0,synthesized,vits
./data/vits/vits_10199-0009.wav,3.5,synthesized,vits
./data/vits/vits_9217-0014.wav,4.0,synthesized,vits
./data/vits/vits_6601-0018.wav,2.0,synthesized,vits
./data/vits/vits_3976-0007.wav,2.0,synthesized,vits
./data/vits/vits_9351-0004.wav,2.6666666666666665,synthesized,vits
./data/vits/vits_9351-0025.wav,2.0,synthesized,vits
./data/vits/vits_8680-0028.wav,4.0,synthesized,vits
./data/vits/vits_6601-0023.wav,4.0,synthesized,vits
./data/vits/vits_4801-0010.wav,4.0,synthesized,vits
./data/vits/vits_3814-0001.wav,1.0,synthesized,vits
./data/vits/vits_10107-0002.wav,4.0,synthesized,vits
./data/vits/vits_9217-0004.wav,3.5,synthesized,vits
./data/vits/vits_10107-0022.wav,4.0,synthesized,vits
./data/vits/vits_8680-0016.wav,3.0,synthesized,vits
./data/vits/vits_4783-0021.wav,4.0,synthesized,vits
./data/vits/vits_6700-0016.wav,5.0,synthesized,vits
./data/vits/vits_3427-0000.wav,5.0,synthesized,vits
./data/vits/vits_6601-0017.wav,4.0,synthesized,vits
./data/vits/vits_5025-0022.wav,3.0,synthesized,vits
./data/vits/vits_5705-0018.wav,4.0,synthesized,vits
./data/vits/vits_5068-0005.wav,2.5,synthesized,vits
./data/vits/vits_5068-0013.wav,4.0,synthesized,vits
./data/vits/vits_4778-0003.wav,2.0,synthesized,vits
./data/vits/vits_4778-0018.wav,4.0,synthesized,vits
./data/vits/vits_2959-0009.wav,1.0,synthesized,vits
./data/vits/vits_9485-0012.wav,3.0,synthesized,vits
./data/vits/vits_4801-0024.wav,3.5,synthesized,vits
./data/vits/vits_5025-0003.wav,3.0,synthesized,vits
./data/vits/vits_5025-0000.wav,3.0,synthesized,vits
./data/vits/vits_10670-0025.wav,4.0,synthesized,vits
./data/vits/vits_2959-0000.wav,3.0,synthesized,vits
./data/vits/vits_6207-0008.wav,3.5,synthesized,vits
./data/vits/vits_6207-0024.wav,2.5,synthesized,vits
./data/vits/vits_9351-0011.wav,4.0,synthesized,vits
./data/vits/vits_9217-0027.wav,4.5,synthesized,vits
./data/vits/vits_9485-0008.wav,2.0,synthesized,vits
./data/vits/vits_5103-0016.wav,3.0,synthesized,vits
./data/vits/vits_6700-0015.wav,3.0,synthesized,vits
./data/vits/vits_6207-0009.wav,5.0,synthesized,vits
./data/vits/vits_3369-0015.wav,3.0,synthesized,vits
./data/vits/vits_4783-0015.wav,2.75,synthesized,vits
./data/vits/vits_10107-0020.wav,3.0,synthesized,vits
./data/vits/vits_4801-0004.wav,5.0,synthesized,vits
./data/vits/vits_5705-0017.wav,5.0,synthesized,vits
./data/vits/vits_3814-0029.wav,3.0,synthesized,vits
./data/vits/vits_3427-0011.wav,4.0,synthesized,vits
./data/vits/vits_5677-0002.wav,3.0,synthesized,vits
