File,Quality,Inteligibility
ground_truth_lu_onu_2009-0011.wav,4.31,0.99
ground_truth_dr_onu-2012-0004.wav,4.15,0.99
dataset_oficial_copel-0604.wav,4.34,0.99
ground_truth_pe_isaura_f-0072.wav,4.21,0.99
ground_truth_msc_d_tunner_tacotron_gst_waveglow_crime_pe_amaro_f-2597.wav,4.33,0.99
ground_truth_lu_onu_2009-0003.wav,4.19,0.98
GS1-0006.wav,4.16,0.99
ground_truth_pe_isaura_f-0062.wav,4.42,0.99
ground_truth_lu_onu_2009-0018.wav,4.05,0.99
ground_truth_gm_crime_pe_amaro-1069.wav,4.48,1.00
ground_truth_bz_bolsonaro_onu-0010.wav,4.37,1.00
ground_truth_pe_isaura_f-0058.wav,4.25,0.99
ground_truth_gm_crime_pe_amaro-1074.wav,4.30,0.99
dataset_oficial_copel-0592.wav,4.27,0.99
ground_truth_pe_isaura_f-0068.wav,4.29,0.99
ground_truth_pe_isaura_f-0060.wav,4.27,0.99
ground_truth_msc_d_tunner_taco2waveglow_crime_pe_amaro-2088.wav,4.17,0.99
GS1-0020.wav,4.52,1.00
ground_truth_bz_bolsonaro_onu-0013.wav,4.36,0.99
ground_truth_dr_onu-2012-0012.wav,4.27,0.99
ground_truth_bz_bolsonaro_onu-0019.wav,4.49,1.00
ground_truth_bz_bolsonaro_onu-0007.wav,4.32,0.99
ground_truth_msc_d_tunner_tacotron_gst_waveglow_crime_pe_amaro_f-2785.wav,4.50,1.00
dataset_oficial_copel-0599.wav,4.29,0.99
ground_truth_lu_onu_2009-0005.wav,4.06,0.99
ground_truth_bz_bolsonaro_onu-0005.wav,4.06,0.99
ground_truth_lu_onu_2009-0001.wav,3.66,0.96
ground_truth_msc_d_tunner_tacotron_gst_waveglow_crime_pe_amaro_f-3117.wav,4.29,0.99
ground_truth_msc_d_tunner_taco2waveglow_crime_pe_amaro-0457.wav,4.41,0.99
ground_truth_lu_onu_2009-0008.wav,4.35,0.99
dataset_oficial_copel-0602.wav,4.20,0.99
ground_truth_msc_d_tunner_tacotron_gst_waveglow_crime_pe_amaro_f-1167.wav,4.43,0.99
GS1-0015.wav,4.09,0.98
ground_truth_bz_bolsonaro_onu-0004.wav,3.78,0.98
GS1-0001.wav,4.49,1.00
ground_truth_pe_isaura_f-0067.wav,4.58,1.00
ground_truth_gm_crime_pe_amaro-1060.wav,4.49,1.00
dataset_oficial_copel-0610.wav,4.23,0.99
dataset_oficial_copel-0603.wav,4.16,0.99
