File,Quality,Inteligibility
taco2waveglow-GS-0016.wav,4.49,1.00
taco2waveglow-DR-0006.wav,4.49,0.99
taco2waveglow-GS-0013.wav,4.61,1.00
taco2waveglow-GS-0007.wav,4.43,0.99
taco2waveglow-LU-0015.wav,3.97,0.99
msc_d_tunner_taco2waveglow_1_13.wav,4.25,0.99
msc_d_tunner_taco2waveglow_1_10.wav,4.41,0.99
taco2waveglow-PE-0023.wav,4.58,1.00
taco2waveglow-LI-0025.wav,4.68,1.00
msc_d_tunner_taco2waveglow_1_15.wav,4.54,1.00
taco2waveglow-LU-0020.wav,3.89,0.99
taco2waveglow-BZ-0002.wav,4.10,0.99
taco2waveglow-LI-0027.wav,4.37,0.99
taco2waveglow-DR-0013.wav,4.27,0.99
taco2waveglow-BZ-0023.wav,3.96,0.98
taco2waveglow-PE-0007.wav,4.52,1.00
taco2waveglow-BZ-0027.wav,3.48,0.97
taco2waveglow-GS-0025.wav,4.47,0.99
taco2waveglow-GM-0028.wav,4.54,1.00
taco2waveglow-GS-0003.wav,4.52,1.00
taco2waveglow-LU-0006.wav,2.98,0.90
taco2waveglow-DR-0015.wav,4.11,0.99
taco2waveglow-DR-0027.wav,3.69,0.98
taco2waveglow-GS-0017.wav,4.61,1.00
taco2waveglow-GS-0011.wav,4.28,0.99
taco2waveglow-LI-0006.wav,4.45,0.99
taco2waveglow-LI-0021.wav,4.47,0.99
taco2waveglow-GS-0027.wav,4.53,1.00
taco2waveglow-GM-0025.wav,4.41,0.99
taco2waveglow-LU-0029.wav,3.86,0.98
taco2waveglow-BZ-0021.wav,4.14,0.99
taco2waveglow-LU-0001.wav,3.58,0.97
taco2waveglow-BZ-0001.wav,3.86,0.99
msc_d_tunner_taco2waveglow_1_4.wav,4.52,1.00
taco2waveglow-LU-0014.wav,3.78,0.98
taco2waveglow-DR-0011.wav,4.39,0.99
taco2waveglow-LU-0005.wav,3.71,0.98
taco2waveglow-BZ-0004.wav,2.86,0.89
taco2waveglow-GM-0010.wav,4.45,0.99
taco2waveglow-LI-0024.wav,4.56,1.00
msc_d_tunner_taco2waveglow_1_9.wav,4.44,0.99
taco2waveglow-DR-0003.wav,4.14,0.99
msc_d_tunner_taco2waveglow_1_12.wav,4.27,0.99
taco2waveglow-GS-0005.wav,4.43,0.99
taco2waveglow-GM-0018.wav,4.47,0.99
msc_d_tunner_taco2waveglow_1_7.wav,4.44,0.99
taco2waveglow-BZ-0006.wav,4.00,0.99
taco2waveglow-PE-0010.wav,4.42,1.00
taco2waveglow-LI-0020.wav,3.59,0.98
taco2waveglow-DR-0025.wav,4.26,0.99
taco2waveglow-LI-0002.wav,4.39,0.99
taco2waveglow-PE-0016.wav,4.64,1.00
taco2waveglow-GM-0005.wav,4.22,0.99
taco2waveglow-PE-0001.wav,4.47,1.00
taco2waveglow-LU-0024.wav,3.77,0.98
taco2waveglow-BZ-0020.wav,3.99,0.99
taco2waveglow-LI-0009.wav,4.55,1.00
taco2waveglow-LU-0011.wav,3.85,0.98
msc_d_tunner_taco2waveglow_1_11.wav,4.05,0.99
taco2waveglow-LU-0017.wav,3.96,0.99
msc_d_tunner_taco2waveglow_1_8.wav,4.29,0.99
taco2waveglow-BZ-0009.wav,3.94,0.98
taco2waveglow-GM-0001.wav,4.55,1.00
taco2waveglow-GS-0028.wav,4.52,1.00
taco2waveglow-LU-0027.wav,4.21,0.99
taco2waveglow-GM-0019.wav,4.58,1.00
taco2waveglow-BZ-0019.wav,3.93,0.98
taco2waveglow-BZ-0003.wav,4.01,0.98
taco2waveglow-LU-0026.wav,3.90,0.99
taco2waveglow-LI-0000.wav,4.32,0.99
taco2waveglow-LU-0010.wav,3.81,0.98
taco2waveglow-GM-0011.wav,4.40,0.99
taco2waveglow-GS-0023.wav,4.64,1.00
taco2waveglow-LI-0003.wav,4.62,1.00
taco2waveglow-PE-0009.wav,4.42,0.99
taco2waveglow-DR-0018.wav,4.33,0.99
taco2waveglow-GS-0010.wav,4.01,0.99
taco2waveglow-BZ-0014.wav,4.13,0.99
taco2waveglow-GS-0026.wav,4.45,0.99
taco2waveglow-LU-0022.wav,4.21,0.99
taco2waveglow-PE-0008.wav,4.40,0.99
taco2waveglow-GM-0029.wav,4.56,1.00
msc_d_tunner_taco2waveglow_1_19.wav,4.53,1.00
taco2waveglow-BZ-0011.wav,3.47,0.96
taco2waveglow-PE-0011.wav,4.62,1.00
msc_d_tunner_taco2waveglow_1_18.wav,4.38,0.99
taco2waveglow-GM-0027.wav,4.63,1.00
taco2waveglow-GS-0024.wav,4.53,1.00
taco2waveglow-PE-0017.wav,4.49,1.00
taco2waveglow-GM-0024.wav,4.31,0.99
taco2waveglow-GM-0023.wav,4.42,0.99
taco2waveglow-DR-0016.wav,4.60,1.00
msc_d_tunner_taco2waveglow_1_17.wav,4.30,0.99
taco2waveglow-PE-0012.wav,4.54,1.00
taco2waveglow-PE-0024.wav,4.30,0.99
taco2waveglow-LI-0007.wav,4.26,0.99
taco2waveglow-LU-0018.wav,3.22,0.95
taco2waveglow-PE-0025.wav,4.44,0.99
taco2waveglow-GM-0015.wav,4.40,0.99
taco2waveglow-GS-0000.wav,4.62,1.00
taco2waveglow-GS-0002.wav,4.47,0.99
taco2waveglow-LI-0019.wav,4.51,1.00
taco2waveglow-PE-0004.wav,4.46,0.99
taco2waveglow-DR-0024.wav,4.15,0.99
msc_d_tunner_taco2waveglow_1_2.wav,4.42,1.00
taco2waveglow-PE-0005.wav,4.61,1.00
taco2waveglow-GS-0019.wav,4.60,1.00
taco2waveglow-PE-0029.wav,4.47,1.00
taco2waveglow-DR-0009.wav,4.38,0.99
msc_d_tunner_taco2waveglow_1_5.wav,4.46,0.99
taco2waveglow-PE-0002.wav,4.56,1.00
taco2waveglow-LU-0000.wav,3.43,0.97
taco2waveglow-PE-0013.wav,4.64,1.00
taco2waveglow-BZ-0029.wav,4.20,0.99
taco2waveglow-PE-0020.wav,4.50,1.00
taco2waveglow-PE-0019.wav,4.44,0.99
taco2waveglow-BZ-0013.wav,4.17,0.99
taco2waveglow-BZ-0015.wav,4.19,0.99
taco2waveglow-BZ-0005.wav,4.14,0.99
taco2waveglow-BZ-0018.wav,3.97,0.98
taco2waveglow-LI-0022.wav,4.62,1.00
taco2waveglow-GS-0004.wav,4.41,0.99
taco2waveglow-GM-0012.wav,4.42,0.99
taco2waveglow-LU-0008.wav,3.87,0.98
taco2waveglow-GS-0015.wav,4.44,0.99
taco2waveglow-PE-0014.wav,4.66,1.00
taco2waveglow-GM-0022.wav,4.57,1.00
taco2waveglow-LI-0013.wav,4.34,0.99
taco2waveglow-PE-0006.wav,4.65,1.00
taco2waveglow-GM-0017.wav,4.42,0.99
taco2waveglow-GM-0026.wav,4.42,0.99
taco2waveglow-DR-0002.wav,3.73,0.98
taco2waveglow-BZ-0007.wav,3.97,0.99
taco2waveglow-GM-0008.wav,4.40,0.99
taco2waveglow-GM-0006.wav,4.45,0.99
taco2waveglow-GM-0020.wav,4.58,1.00
taco2waveglow-GS-0008.wav,4.59,1.00
taco2waveglow-LU-0003.wav,3.52,0.96
msc_d_tunner_taco2waveglow_1_16.wav,4.47,0.99
msc_d_tunner_taco2waveglow_1_0.wav,4.44,0.99
taco2waveglow-DR-0007.wav,3.62,0.98
taco2waveglow-LU-0002.wav,3.84,0.98
taco2waveglow-LU-0009.wav,3.55,0.97
taco2waveglow-LU-0028.wav,3.90,0.99
taco2waveglow-BZ-0022.wav,3.83,0.98
taco2waveglow-GS-0014.wav,4.44,0.99
taco2waveglow-LI-0029.wav,4.43,0.99
taco2waveglow-GS-0018.wav,4.66,1.00
taco2waveglow-DR-0012.wav,3.68,0.98
taco2waveglow-DR-0021.wav,4.61,1.00
taco2waveglow-BZ-0025.wav,3.95,0.98
taco2waveglow-LI-0008.wav,4.41,0.99
taco2waveglow-LU-0004.wav,4.29,0.99
taco2waveglow-LU-0007.wav,4.06,0.99
taco2waveglow-LI-0012.wav,4.55,1.00
taco2waveglow-BZ-0028.wav,4.14,0.99
msc_d_tunner_taco2waveglow_1_3.wav,4.48,1.00
taco2waveglow-GS-0001.wav,4.61,1.00
taco2waveglow-DR-0028.wav,4.41,0.99
taco2waveglow-LI-0026.wav,4.59,1.00
taco2waveglow-DR-0019.wav,4.26,0.99
taco2waveglow-LU-0021.wav,3.95,0.99
taco2waveglow-DR-0020.wav,4.30,0.99
taco2waveglow-PE-0018.wav,4.45,0.99
taco2waveglow-PE-0015.wav,4.35,0.99
msc_d_tunner_taco2waveglow_1_1.wav,4.38,0.99
taco2waveglow-DR-0029.wav,3.77,0.98
taco2waveglow-BZ-0008.wav,4.09,0.99
taco2waveglow-LI-0014.wav,4.39,0.99
taco2waveglow-DR-0017.wav,4.31,0.99
taco2waveglow-GM-0009.wav,4.41,0.99
taco2waveglow-GM-0004.wav,4.32,0.99
