File,Quality,Inteligibility
taco2hifigan-FN-0022.wav,3.63,0.97
taco2hifigan-IR-0011.wav,3.91,0.99
taco2hifigan-LN-0011.wav,4.01,0.98
taco2hifigan-IR-0002.wav,3.74,0.98
taco2hifigan-DI-0003.wav,4.47,1.00
taco2hifigan-BZ-0016.wav,3.72,0.98
taco2hifigan-BZ-0014.wav,3.83,0.98
taco2hifigan-LN-0013.wav,4.20,0.99
taco2hifigan-PE-0001.wav,4.65,1.00
taco2hifigan-MA-0011.wav,3.62,0.95
taco2hifigan-MA-0002.wav,3.76,0.97
taco2hifigan-IR-0001.wav,3.90,0.98
taco2hifigan-MA-0012.wav,3.34,0.95
taco2hifigan-BZ-0020.wav,3.94,0.99
taco2hifigan-GM-0015.wav,4.61,1.00
taco2hifigan-DI-0014.wav,4.40,0.99
taco2hifigan-GM-0017.wav,4.19,0.99
taco2hifigan-MA-0028.wav,3.09,0.88
taco2hifigan-DI-0011.wav,3.64,0.96
taco2hifigan-PE-0016.wav,4.36,0.99
taco2hifigan-IR-0005.wav,3.70,0.98
taco2hifigan-LN-0009.wav,4.21,0.99
taco2hifigan-MA-0009.wav,3.36,0.95
taco2hifigan-GS-0023.wav,4.48,1.00
taco2hifigan-RC-0018.wav,3.69,0.97
taco2hifigan-GS-0006.wav,4.33,0.99
taco2hifigan-GM-0005.wav,4.33,0.99
taco2hifigan-LN-0027.wav,4.32,0.99
taco2hifigan-BZ-0017.wav,3.99,0.98
taco2hifigan-DR-0024.wav,4.02,0.98
taco2hifigan-FN-0010.wav,4.25,0.99
taco2hifigan-PE-0028.wav,4.46,0.99
taco2hifigan-GM-0012.wav,4.47,0.99
taco2hifigan-DR-0025.wav,4.29,0.99
taco2hifigan-LI-0005.wav,4.19,0.99
taco2hifigan-BZ-0021.wav,4.06,0.99
taco2hifigan-PE-0019.wav,4.26,0.99
taco2hifigan-DI-0010.wav,4.60,1.00
taco2hifigan-GS-0024.wav,4.61,1.00
taco2hifigan-LN-0004.wav,4.11,0.99
taco2hifigan-IR-0017.wav,3.97,0.98
taco2hifigan-FN-0006.wav,4.13,0.99
taco2hifigan-PE-0023.wav,4.52,1.00
taco2hifigan-DR-0028.wav,4.09,0.99
taco2hifigan-RC-0015.wav,4.29,0.99
taco2hifigan-RC-0007.wav,3.80,0.98
taco2hifigan-LU-0006.wav,3.95,0.99
taco2hifigan-LN-0010.wav,4.22,0.99
taco2hifigan-IR-0000.wav,3.98,0.98
taco2hifigan-BZ-0010.wav,4.02,0.99
taco2hifigan-GM-0016.wav,4.65,1.00
taco2hifigan-RC-0014.wav,3.37,0.96
taco2hifigan-IR-0006.wav,3.68,0.97
taco2hifigan-IR-0028.wav,4.07,0.99
taco2hifigan-RC-0024.wav,4.09,0.99
taco2hifigan-FN-0019.wav,3.93,0.98
taco2hifigan-MA-0017.wav,3.45,0.97
taco2hifigan-LN-0021.wav,3.94,0.99
taco2hifigan-GM-0008.wav,4.29,0.99
taco2hifigan-LN-0008.wav,3.85,0.98
taco2hifigan-LI-0003.wav,4.38,0.99
taco2hifigan-DR-0003.wav,4.12,0.99
taco2hifigan-GS-0017.wav,4.16,0.99
taco2hifigan-LI-0014.wav,4.24,0.99
taco2hifigan-DI-0025.wav,4.20,0.99
taco2hifigan-LI-0006.wav,4.53,1.00
taco2hifigan-RC-0010.wav,4.09,0.99
taco2hifigan-DI-0028.wav,4.51,1.00
taco2hifigan-GS-0007.wav,4.16,0.99
taco2hifigan-GM-0002.wav,4.32,0.99
taco2hifigan-FN-0020.wav,3.83,0.98
taco2hifigan-MA-0005.wav,3.20,0.94
taco2hifigan-DR-0014.wav,4.39,0.99
taco2hifigan-BZ-0019.wav,3.77,0.98
taco2hifigan-GM-0021.wav,4.40,0.99
taco2hifigan-PE-0029.wav,4.47,0.99
taco2hifigan-PE-0025.wav,4.32,0.99
taco2hifigan-RC-0028.wav,4.02,0.98
taco2hifigan-GM-0004.wav,4.64,1.00
taco2hifigan-RC-0029.wav,3.93,0.98
taco2hifigan-LN-0029.wav,4.17,0.99
taco2hifigan-MA-0014.wav,3.45,0.94
taco2hifigan-FN-0001.wav,4.18,0.99
taco2hifigan-LN-0022.wav,3.81,0.97
taco2hifigan-LN-0016.wav,4.09,0.99
taco2hifigan-IR-0003.wav,4.26,0.99
taco2hifigan-RC-0002.wav,4.06,0.99
taco2hifigan-DI-0027.wav,4.47,0.99
taco2hifigan-LU-0018.wav,3.72,0.98
taco2hifigan-FN-0028.wav,3.76,0.98
taco2hifigan-LN-0017.wav,3.82,0.98
taco2hifigan-BZ-0027.wav,3.47,0.96
taco2hifigan-LN-0015.wav,3.94,0.98
taco2hifigan-BZ-0001.wav,3.63,0.98
taco2hifigan-PE-0009.wav,4.41,0.99
taco2hifigan-BZ-0003.wav,3.87,0.98
taco2hifigan-MA-0006.wav,3.53,0.97
taco2hifigan-FN-0002.wav,3.81,0.98
taco2hifigan-FN-0023.wav,3.99,0.99
taco2hifigan-GM-0024.wav,4.36,0.99
taco2hifigan-RC-0005.wav,4.17,0.99
taco2hifigan-RC-0019.wav,3.90,0.97
taco2hifigan-FN-0026.wav,4.50,1.00
taco2hifigan-DR-0026.wav,4.38,0.99
taco2hifigan-LU-0021.wav,3.97,0.99
taco2hifigan-DI-0016.wav,4.40,0.99
taco2hifigan-PE-0022.wav,4.48,1.00
taco2hifigan-DR-0000.wav,4.07,0.98
taco2hifigan-GM-0000.wav,4.22,0.99
taco2hifigan-FN-0003.wav,3.66,0.98
taco2hifigan-LI-0013.wav,4.28,0.99
taco2hifigan-LU-0000.wav,4.30,0.99
taco2hifigan-GS-0021.wav,4.59,1.00
taco2hifigan-GS-0015.wav,4.48,1.00
taco2hifigan-MA-0015.wav,3.55,0.95
taco2hifigan-DR-0004.wav,3.98,0.98
taco2hifigan-BZ-0023.wav,3.89,0.99
taco2hifigan-GM-0026.wav,4.61,1.00
taco2hifigan-GM-0001.wav,4.50,1.00
taco2hifigan-LN-0006.wav,4.03,0.98
taco2hifigan-FN-0016.wav,4.10,0.99
taco2hifigan-MA-0016.wav,3.67,0.98
taco2hifigan-IR-0004.wav,3.97,0.99
taco2hifigan-DR-0007.wav,4.19,0.99
taco2hifigan-LN-0012.wav,3.98,0.98
taco2hifigan-PE-0024.wav,4.22,0.99
taco2hifigan-LI-0025.wav,4.35,0.99
taco2hifigan-RC-0009.wav,4.18,0.99
taco2hifigan-PE-0027.wav,4.30,0.99
taco2hifigan-RC-0013.wav,3.96,0.99
taco2hifigan-LI-0010.wav,2.75,0.80
taco2hifigan-IR-0007.wav,3.75,0.98
taco2hifigan-MA-0029.wav,3.34,0.96
taco2hifigan-DR-0027.wav,4.06,0.98
taco2hifigan-LI-0000.wav,4.34,0.99
taco2hifigan-GS-0008.wav,4.45,1.00
taco2hifigan-RC-0026.wav,4.20,0.99
taco2hifigan-RC-0004.wav,3.99,0.99
taco2hifigan-IR-0025.wav,4.16,0.99
taco2hifigan-RC-0016.wav,3.86,0.98
taco2hifigan-PE-0007.wav,4.25,0.99
taco2hifigan-DI-0001.wav,4.41,0.99
taco2hifigan-DR-0008.wav,3.95,0.98
taco2hifigan-DR-0017.wav,4.17,0.99
taco2hifigan-DI-0004.wav,4.36,0.99
taco2hifigan-LN-0025.wav,3.79,0.98
taco2hifigan-LN-0024.wav,4.04,0.99
taco2hifigan-LU-0009.wav,4.12,0.99
taco2hifigan-LI-0011.wav,4.25,0.99
taco2hifigan-BZ-0022.wav,4.01,0.99
taco2hifigan-RC-0012.wav,4.06,0.99
taco2hifigan-RC-0000.wav,3.94,0.98
taco2hifigan-DI-0029.wav,4.35,0.99
taco2hifigan-DI-0021.wav,4.12,0.99
taco2hifigan-GM-0013.wav,4.66,1.00
taco2hifigan-IR-0009.wav,4.26,0.99
taco2hifigan-RC-0027.wav,4.39,0.99
taco2hifigan-MA-0008.wav,3.95,0.98
taco2hifigan-IR-0010.wav,3.59,0.97
taco2hifigan-LN-0000.wav,4.02,0.98
taco2hifigan-DI-0007.wav,4.38,0.99
taco2hifigan-PE-0006.wav,4.45,0.99
taco2hifigan-BZ-0028.wav,3.99,0.98
taco2hifigan-PE-0026.wav,4.57,1.00
taco2hifigan-LI-0022.wav,4.34,0.99
taco2hifigan-LN-0020.wav,3.88,0.98
taco2hifigan-DI-0023.wav,4.15,0.99
taco2hifigan-LU-0010.wav,3.78,0.98
taco2hifigan-FN-0027.wav,3.96,0.98
taco2hifigan-FN-0004.wav,3.90,0.99
taco2hifigan-MA-0013.wav,3.95,0.99
taco2hifigan-DR-0010.wav,4.21,0.99
taco2hifigan-GM-0009.wav,4.16,0.99
taco2hifigan-RC-0022.wav,3.62,0.97
taco2hifigan-DR-0016.wav,4.31,0.99
taco2hifigan-GS-0004.wav,4.37,0.99
taco2hifigan-MA-0027.wav,3.66,0.96
taco2hifigan-IR-0012.wav,3.76,0.98
taco2hifigan-GM-0025.wav,4.31,0.99
taco2hifigan-RC-0003.wav,3.88,0.98
taco2hifigan-BZ-0015.wav,3.96,0.98
taco2hifigan-DR-0006.wav,4.40,0.99
taco2hifigan-RC-0021.wav,3.99,0.98
taco2hifigan-PE-0012.wav,4.43,0.99
taco2hifigan-PE-0015.wav,4.22,0.99
taco2hifigan-FN-0009.wav,4.14,0.99
taco2hifigan-LI-0024.wav,4.06,0.99
taco2hifigan-FN-0021.wav,4.04,0.99
taco2hifigan-LI-0019.wav,4.25,0.99
taco2hifigan-DI-0009.wav,4.11,0.99
taco2hifigan-BZ-0007.wav,4.31,0.99
taco2hifigan-GM-0029.wav,4.57,1.00
taco2hifigan-LI-0016.wav,4.38,0.99
taco2hifigan-LI-0004.wav,4.42,0.99
taco2hifigan-DR-0011.wav,4.09,0.99
taco2hifigan-DI-0018.wav,4.51,1.00
taco2hifigan-LI-0029.wav,4.33,0.99
taco2hifigan-GS-0009.wav,4.46,1.00
taco2hifigan-DR-0019.wav,4.36,0.99
taco2hifigan-BZ-0000.wav,4.08,0.99
taco2hifigan-LI-0012.wav,4.25,0.99
taco2hifigan-DR-0021.wav,3.98,0.98
taco2hifigan-PE-0005.wav,4.51,1.00
taco2hifigan-LN-0023.wav,4.32,0.99
taco2hifigan-GM-0027.wav,4.35,0.99
taco2hifigan-FN-0014.wav,3.60,0.97
taco2hifigan-GM-0028.wav,4.40,0.99
taco2hifigan-LU-0005.wav,4.01,0.99
taco2hifigan-BZ-0002.wav,4.27,0.99
taco2hifigan-LI-0021.wav,4.12,0.99
taco2hifigan-BZ-0024.wav,4.34,0.99
taco2hifigan-MA-0000.wav,3.49,0.95
taco2hifigan-IR-0018.wav,3.92,0.98
taco2hifigan-GM-0011.wav,4.44,0.99
taco2hifigan-DI-0005.wav,3.61,0.97
taco2hifigan-FN-0017.wav,3.93,0.98
taco2hifigan-FN-0029.wav,3.47,0.96
taco2hifigan-BZ-0018.wav,4.22,0.99
taco2hifigan-LU-0020.wav,3.76,0.97
taco2hifigan-PE-0000.wav,4.50,1.00
taco2hifigan-DI-0008.wav,4.55,1.00
taco2hifigan-LU-0023.wav,4.07,0.99
taco2hifigan-LU-0004.wav,3.93,0.97
taco2hifigan-MA-0001.wav,3.79,0.98
taco2hifigan-GM-0010.wav,4.35,0.99
taco2hifigan-DI-0002.wav,4.21,0.99
taco2hifigan-LU-0029.wav,4.09,0.99
taco2hifigan-MA-0018.wav,3.93,0.98
taco2hifigan-LI-0008.wav,4.28,0.99
taco2hifigan-GS-0016.wav,4.56,1.00
taco2hifigan-LU-0012.wav,3.79,0.98
taco2hifigan-LU-0008.wav,3.98,0.99
taco2hifigan-MA-0003.wav,3.57,0.96
taco2hifigan-LU-0028.wav,3.91,0.99
taco2hifigan-GS-0000.wav,4.39,0.99
taco2hifigan-GS-0027.wav,4.65,1.00
taco2hifigan-LU-0013.wav,3.87,0.98
taco2hifigan-LN-0014.wav,4.01,0.98
taco2hifigan-IR-0023.wav,3.93,0.98
taco2hifigan-LN-0028.wav,4.09,0.99
taco2hifigan-PE-0011.wav,4.42,0.99
taco2hifigan-PE-0003.wav,4.32,0.99
taco2hifigan-GS-0013.wav,4.38,0.99
