File,Quality,Inteligibility
vits_9217-0014.wav,3.82,0.98
vits_6700-0003.wav,3.77,0.98
vits_2959-0008.wav,3.95,0.99
vits_5103-0000.wav,3.87,0.98
vits_5705-0013.wav,3.93,0.99
vits_4778-0012.wav,4.37,0.99
vits_6581-0016.wav,3.85,0.98
vits_5068-0008.wav,3.77,0.98
vits_3427-0028.wav,3.43,0.95
vits_5677-0007.wav,4.22,0.99
vits_6601-0018.wav,3.64,0.98
vits_5068-0014.wav,3.56,0.96
vits_9485-0012.wav,3.67,0.98
vits_4367-0000.wav,4.28,0.99
vits_6700-0026.wav,3.40,0.96
vits_6581-0009.wav,3.74,0.98
vits_6581-0001.wav,3.95,0.98
vits_6207-0005.wav,3.75,0.98
vits_5025-0007.wav,4.13,0.99
vits_9485-0002.wav,3.88,0.99
vits_2961-0027.wav,4.11,0.99
vits_6601-0020.wav,3.65,0.98
vits_7028-0019.wav,3.75,0.98
vits_4778-0005.wav,3.98,0.98
vits_10107-0016.wav,4.27,0.99
vits_10670-0003.wav,3.40,0.96
vits_9485-0010.wav,3.49,0.96
vits_4778-0009.wav,4.06,0.98
vits_6700-0022.wav,4.05,0.99
vits_4783-0011.wav,3.76,0.97
vits_10199-0023.wav,3.69,0.98
vits_5103-0026.wav,3.42,0.95
vits_5888-0017.wav,3.01,0.89
vits_6207-0006.wav,3.55,0.96
vits_5103-0017.wav,4.08,0.99
vits_7028-0021.wav,4.30,0.99
vits_4801-0022.wav,4.10,0.99
vits_4783-0001.wav,3.72,0.98
vits_7028-0011.wav,3.76,0.97
vits_10199-0008.wav,3.96,0.98
vits_2961-0017.wav,3.86,0.98
vits_10670-0008.wav,3.40,0.95
vits_5068-0002.wav,3.74,0.98
vits_6581-0012.wav,3.97,0.98
vits_6581-0008.wav,3.88,0.99
vits_8680-0026.wav,3.61,0.96
vits_3369-0029.wav,4.24,0.99
vits_3976-0013.wav,3.86,0.98
vits_5025-0004.wav,3.54,0.96
vits_9217-0027.wav,3.97,0.98
vits_10670-0009.wav,3.34,0.96
vits_5677-0008.wav,3.77,0.98
vits_3976-0005.wav,4.02,0.99
vits_10107-0026.wav,3.99,0.99
vits_10670-0021.wav,3.27,0.92
vits_5025-0015.wav,3.31,0.96
vits_3976-0020.wav,3.84,0.98
vits_9351-0005.wav,3.69,0.98
vits_4367-0015.wav,3.76,0.98
vits_4783-0016.wav,4.37,0.99
vits_3814-0014.wav,3.82,0.98
vits_12865-0021.wav,3.32,0.96
vits_5888-0015.wav,3.81,0.98
vits_5888-0002.wav,3.55,0.96
vits_6700-0025.wav,3.90,0.98
vits_6207-0023.wav,3.82,0.97
vits_5103-0016.wav,3.66,0.98
vits_9485-0023.wav,3.33,0.96
vits_6581-0015.wav,3.49,0.97
vits_5705-0017.wav,3.49,0.96
vits_5677-0020.wav,3.68,0.98
vits_6601-0025.wav,3.94,0.99
vits_10670-0019.wav,2.75,0.86
vits_5677-0006.wav,3.99,0.99
vits_9351-0028.wav,3.80,0.98
vits_4783-0012.wav,3.62,0.98
vits_3814-0000.wav,3.77,0.97
vits_10107-0010.wav,3.61,0.97
vits_6700-0021.wav,3.93,0.99
vits_5025-0028.wav,3.96,0.98
vits_5888-0011.wav,4.12,0.99
vits_5888-0025.wav,4.00,0.98
vits_5677-0009.wav,3.70,0.98
vits_3369-0027.wav,3.84,0.97
vits_6700-0005.wav,3.93,0.99
vits_7028-0020.wav,3.49,0.95
vits_8680-0000.wav,3.17,0.93
vits_10107-0028.wav,4.27,0.99
vits_10107-0021.wav,3.89,0.98
vits_3976-0016.wav,4.18,0.99
vits_5103-0001.wav,3.90,0.98
vits_5068-0010.wav,3.60,0.96
vits_5103-0005.wav,3.55,0.96
vits_4801-0016.wav,4.06,0.99
vits_7028-0016.wav,3.97,0.98
vits_4783-0003.wav,4.25,0.99
vits_2961-0009.wav,3.59,0.98
vits_4801-0005.wav,3.69,0.97
vits_2959-0011.wav,4.07,0.99
vits_10670-0006.wav,3.50,0.97
vits_12249-0026.wav,4.01,0.98
vits_3369-0025.wav,3.86,0.98
