filepath , mos
vits_10107-0000,4.5
vits_10107-0003,5.0
vits_10107-0004,3.0
vits_10107-0005,3.5
vits_10107-0006,3.0
vits_10107-0007,4.0
vits_10107-0008,2.0
vits_10107-0009,4.0
vits_10107-0010,5.0
vits_10107-0011,3.5
vits_10107-0012,4.0
vits_10107-0015,3.0
vits_10107-0016,4.0
vits_10107-0018,3.5
vits_10107-0020,3.0
vits_10107-0021,3.75
vits_10107-0022,4.0
vits_10107-0025,4.0
vits_10107-0026,3.5
vits_10107-0027,4.0
vits_10107-0029,4.5
vits_10199-0000,3.0
vits_10199-0001,3.0
vits_10199-0002,5.0
vits_10199-0003,3.3333333333333335
vits_10199-0005,5.0
vits_10199-0007,1.0
vits_10199-0008,4.0
vits_10199-0010,3.0
vits_10199-0011,3.0
vits_10199-0012,3.5
vits_10199-0013,4.0
vits_10199-0016,2.6666666666666665
vits_10199-0017,3.0
vits_10199-0019,3.0
vits_10199-0020,2.75
vits_10199-0021,2.5
vits_10199-0023,3.0
vits_10199-0024,4.0
vits_10199-0026,3.0
vits_10199-0027,3.5
vits_10199-0029,3.5
vits_10670-0000,2.0
vits_10670-0003,3.3333333333333335
vits_10670-0004,2.6666666666666665
vits_10670-0005,2.0
vits_10670-0007,3.0
vits_10670-0008,2.0
vits_10670-0010,2.0
vits_10670-0011,2.6666666666666665
vits_10670-0013,1.5
vits_10670-0014,4.0
vits_10670-0018,4.0
vits_10670-0019,1.0
vits_10670-0020,3.5
vits_10670-0021,2.0
vits_10670-0022,3.75
vits_10670-0024,2.0
vits_10670-0025,4.0
vits_10670-0026,3.5
vits_10670-0028,3.0
vits_12249-0000,4.333333333333333
vits_12249-0002,4.5
vits_12249-0003,4.0
vits_12249-0004,4.0
vits_12249-0005,4.333333333333333
vits_12249-0006,4.0
vits_12249-0007,4.0
vits_12249-0008,4.0
vits_12249-0009,4.666666666666667
vits_12249-0010,4.0
vits_12249-0011,4.0
vits_12249-0012,5.0
vits_12249-0014,4.0
vits_12249-0015,5.0
vits_12249-0016,5.0
vits_12249-0017,4.5
vits_12249-0018,5.0
vits_12249-0019,3.6666666666666665
vits_12249-0020,4.0
vits_12249-0021,4.0
vits_12249-0022,3.5
vits_12249-0024,4.0
vits_12249-0025,3.0
vits_12249-0026,4.0
vits_12249-0027,5.0
vits_12249-0028,5.0
vits_12249-0029,4.0
vits_12865-0001,2.5
vits_12865-0002,3.0
vits_12865-0005,4.0
vits_12865-0006,3.6666666666666665
vits_12865-0007,1.0
vits_12865-0009,3.6666666666666665
vits_12865-0010,5.0
vits_12865-0011,3.0
vits_12865-0012,3.0
vits_12865-0013,4.0
vits_12865-0015,3.0
vits_12865-0016,4.0
vits_12865-0017,3.6666666666666665
vits_12865-0018,4.5
vits_12865-0019,4.0
vits_12865-0021,3.6666666666666665
vits_12865-0023,3.0
vits_12865-0024,4.0
vits_12865-0026,4.0
vits_12865-0027,4.0
vits_12865-0028,5.0
vits_12865-0029,2.0
vits_2959-0000,3.0
vits_2959-0001,5.0
vits_2959-0004,4.0
vits_2959-0005,2.0
vits_2959-0007,5.0
vits_2959-0008,4.25
vits_2959-0009,1.0
vits_2959-0011,3.0
vits_2959-0012,3.0
vits_2959-0013,4.0
vits_2959-0014,5.0
vits_2959-0016,3.5
vits_2959-0017,5.0
vits_2959-0018,4.0
vits_2959-0021,4.0
vits_2959-0022,4.0
vits_2959-0023,4.0
vits_2959-0024,2.0
vits_2959-0025,3.0
vits_2959-0026,4.0
vits_2959-0027,4.0
vits_2959-0029,2.75
vits_2961-0000,4.0
vits_2961-0003,4.0
vits_2961-0004,3.0
vits_2961-0005,5.0
vits_2961-0006,3.0
vits_2961-0007,3.5
vits_2961-0011,3.0
vits_2961-0013,4.0
vits_2961-0014,4.0
vits_2961-0015,3.5
vits_2961-0017,4.0
vits_2961-0018,4.0
vits_2961-0019,3.0
vits_2961-0020,3.0
vits_2961-0021,4.0
vits_2961-0022,4.0
vits_2961-0024,1.0
vits_2961-0025,4.0
vits_2961-0027,4.333333333333333
vits_2961-0028,2.0
vits_3369-0000,3.2857142857142856
vits_3369-0002,4.0
vits_3369-0004,4.0
vits_3369-0007,3.0
vits_3369-0008,2.3333333333333335
vits_3369-0009,3.0
vits_3369-0010,4.0
vits_3369-0011,3.0
vits_3369-0012,5.0
vits_3369-0014,4.5
vits_3369-0015,3.0
vits_3369-0019,3.5
vits_3369-0021,4.0
vits_3369-0022,4.0
vits_3369-0023,2.0
vits_3369-0024,3.0
vits_3369-0026,4.5
vits_3369-0027,4.0
vits_3369-0028,3.0
vits_3369-0029,4.5
vits_3427-0000,5.0
vits_3427-0001,4.0
vits_3427-0005,4.0
vits_3427-0006,3.0
vits_3427-0008,2.5
vits_3427-0009,3.0
vits_3427-0011,4.0
vits_3427-0012,2.0
vits_3427-0013,3.0
vits_3427-0014,4.5
vits_3427-0015,1.0
vits_3427-0016,3.0
vits_3427-0017,2.6666666666666665
vits_3427-0018,4.0
vits_3427-0019,2.5
vits_3427-0020,2.6
vits_3427-0021,3.0
vits_3427-0022,4.333333333333333
vits_3427-0026,5.0
vits_3427-0028,3.0
vits_3427-0029,3.0
vits_3814-0000,3.0
vits_3814-0001,1.0
vits_3814-0002,3.0
vits_3814-0004,3.0
vits_3814-0005,2.0
vits_3814-0010,1.0
vits_3814-0011,3.0
vits_3814-0013,3.0
vits_3814-0014,3.0
vits_3814-0015,3.0
vits_3814-0016,2.0
vits_3814-0017,4.0
vits_3814-0019,2.0
vits_3814-0020,1.0
vits_3814-0021,3.0
vits_3814-0023,3.0
vits_3814-0024,2.0
vits_3814-0025,3.0
